id,name,gender,age,city,state,job,income,score,loans
100259,Bhavya Rattan,Male,26,Lucknow,Uttar Pradesh,Self Employed,184434,560,1
100260,Suhani Chakrabarti,Male,56,Hubballi,Karnataka,Salaried,64960,659,3
100261,Zayyan Naik,Male,54,Bengaluru,Karnataka,Salaried,69227,696,1
100262,Netra Varkey,Female,60,Mangaluru,Karnataka,Salaried,170700,703,0
100263,Turvi Sachdev,Male,23,Warangal,Telangana,Salaried,167979,695,0
100264,Raghav Vasa,Female,36,Ahmedabad,Gujarat,Business Owner,78513,656,2
100265,Wishi Sathe,Male,26,Lucknow,Uttar Pradesh,Business Owner,120680,662,1
100266,Samar Loke,Female,41,New Delhi,Delhi,Professional,150866,798,2
100267,Bhavna Sarma,Male,23,Thane,Maharashtra,Self Employed,37440,721,1
100268,Jairaj Balakrishnan,Male,21,New Delhi,Delhi,Salaried,162562,595,0
100269,Nathan Mukhopadhyay,Female,27,Aurangabad,Maharashtra,Business Owner,217550,694,0
100270,Nikita Chander,Female,44,Coimbatore,Tamil Nadu,Self Employed,144322,810,0
100271,Ishaan Shenoy,Male,40,New Delhi,Delhi,Salaried,30744,769,3
100272,Mitesh Tara,Female,54,Jodhpur,Rajasthan,Professional,158683,666,4
100273,Yashodhara Mahajan,Male,28,Jaipur,Rajasthan,Salaried,29561,624,2
100274,Vasudha Sodhi,Female,45,Kolkata,West Bengal,Professional,216010,639,3
100275,Tanmayi Dhillon,Male,58,Surat,Gujarat,Salaried,208644,680,0
100276,Rayaan Trivedi,Male,48,Pune,Maharashtra,Professional,153504,689,0
100277,Ekaraj Majumdar,Female,57,Thane,Maharashtra,Professional,124015,719,0
100278,Harini Tripathi,Female,45,Ahmedabad,Gujarat,Business Owner,145628,608,1
100279,Aarnav Mandal,Male,32,Warangal,Telangana,Professional,124676,763,4
100280,Vrishti Dixit,Male,40,Siliguri,West Bengal,Self Employed,47237,648,0
100281,Veda Pai,Female,38,Warangal,Telangana,Salaried,171406,709,3
100282,Krishna Shah,Male,53,Warangal,Telangana,Professional,165784,763,0
100283,Ranbir Khare,Female,53,Hyderabad,Telangana,Salaried,49469,666,1
100284,Vivaan Roy,Female,57,Surat,Gujarat,Salaried,85994,736,2
100285,Eesha Solanki,Female,59,Hyderabad,Telangana,Business Owner,213791,648,1
100286,Libni Doshi,Female,32,Udaipur,Rajasthan,Self Employed,204496,676,0
100287,Balhaar Date,Male,57,Mysuru,Karnataka,Business Owner,152082,772,0
100288,Harish Sarraf,Female,34,Madurai,Tamil Nadu,Salaried,23362,658,2
100289,Tanmayi Aurora,Female,40,Pune,Maharashtra,Business Owner,209221,752,0
100290,Nimrat Dubey,Male,38,Nashik,Maharashtra,Salaried,32199,627,1
100291,Upasna Lanka,Male,30,Coimbatore,Tamil Nadu,Salaried,127524,619,0
100292,Mitali Buch,Female,37,Rajkot,Gujarat,Business Owner,20951,716,0
100293,Lajita Nadig,Male,25,New Delhi,Delhi,Salaried,166105,602,0
100294,Balendra Biswas,Male,48,Rajkot,Gujarat,Salaried,40163,683,1
100295,Bhavna Karan,Female,57,Pune,Maharashtra,Salaried,76986,643,0
100296,Radha Chaudhari,Male,53,Pune,Maharashtra,Self Employed,205789,631,0
100297,Sachi Ganesan,Female,58,Chennai,Tamil Nadu,Salaried,74872,727,0
100298,Ayush Batra,Male,41,Hyderabad,Telangana,Business Owner,61151,730,1
100299,Daksh Memon,Male,59,Rajkot,Gujarat,Salaried,25189,659,2
100300,Kavya Sankar,Male,48,Noida,Uttar Pradesh,Salaried,189595,733,2
100301,Yash Wali,Male,21,Madurai,Tamil Nadu,Self Employed,193564,769,0
100302,Pranit Garde,Female,23,Jaipur,Rajasthan,Salaried,219150,777,3
100303,Farhan Raja,Female,33,Nashik,Maharashtra,Salaried,29068,635,2
100304,Widisha Dhar,Female,46,Chennai,Tamil Nadu,Salaried,79142,565,2
100305,Triya Kumar,Female,26,Ahmedabad,Gujarat,Salaried,95952,735,2
100306,Aadhya Andra,Female,45,Pune,Maharashtra,Professional,212749,673,0
100307,Bhavna Dugar,Male,55,Delhi,Delhi,Self Employed,26748,693,0
100308,Riya Pai,Male,39,Coimbatore,Tamil Nadu,Salaried,159306,696,0
100309,Panini Krishna,Female,57,Kolkata,West Bengal,Salaried,91389,655,1
100310,Chasmum Issac,Male,55,Aurangabad,Maharashtra,Salaried,142149,830,0
100311,Vasudha Chhabra,Female,42,Vadodara,Gujarat,Self Employed,214445,711,0
100312,Lakshmi Parmer,Female,57,Mysuru,Karnataka,Professional,46158,718,0
100313,Chakrika Bains,Male,31,Agra,Uttar Pradesh,Business Owner,206322,694,2
100314,Anvi Anand,Male,45,Bhopal,Madhya Pradesh,Salaried,97435,759,0
100315,Watika Mangat,Male,46,Warangal,Telangana,Professional,107730,615,2
100316,Indira Kanda,Female,30,Indore,Madhya Pradesh,Salaried,74002,645,2
100317,Zashil Devan,Female,48,Rajkot,Gujarat,Salaried,200556,692,1
100318,Balveer More,Female,39,Jaipur,Rajasthan,Business Owner,57587,771,0
100319,Bahadurjit Patla,Female,39,Udaipur,Rajasthan,Salaried,52873,699,0
100320,Gautam Merchant,Male,56,Mangaluru,Karnataka,Salaried,192458,626,0
100321,Ojasvi Gill,Female,38,Hyderabad,Telangana,Self Employed,53132,797,0
100322,Kevin Zacharia,Female,46,Kolkata,West Bengal,Business Owner,192622,635,2
100323,Yachana Mahajan,Female,28,Mangaluru,Karnataka,Salaried,29209,698,0
100324,Aarini Subramaniam,Female,25,Bhopal,Madhya Pradesh,Self Employed,77385,671,1
100325,Hamsini Contractor,Female,28,Bengaluru,Karnataka,Professional,94322,689,0
100326,Faqid Dhaliwal,Male,50,Indore,Madhya Pradesh,Salaried,145583,608,2
100327,Mekhala Pau,Male,28,Mumbai,Maharashtra,Salaried,98821,721,1
100328,Megha Atwal,Male,56,Jodhpur,Rajasthan,Salaried,210190,733,0
100329,Jatin Sha,Female,30,Thane,Maharashtra,Self Employed,194362,729,1
100330,Adweta Raj,Male,47,Noida,Uttar Pradesh,Salaried,35998,673,0
100331,Hritik Kaur,Female,35,Warangal,Telangana,Salaried,61133,787,0
